case_id,task_type,stage,user_message,ideal_response
CONNIE-001,search,Stage 1: Greeting,"Hi, I'm looking for a cottage.",Hello! I'd love to help you find the perfect cottage. What dates were you thinking?
CONNIE-002,search,Stage 1: Greeting,Hello!,Hello! Welcome to Sykes Cottages. Are you looking to book a holiday?
CONNIE-003,search,Stage 1: Greeting,"Good morning, I need some help.",Good morning! Of course — happy to help. Are you looking to book a cottage?
CONNIE-004,search,Stage 1: Greeting,I want to go on holiday.,Brilliant! I'd love to help with that. What dates were you thinking of?
CONNIE-005,search,Stage 1: Greeting,Can you help me?,Of course! I'd love to help. Are you looking to book a holiday cottage?
CONNIE-006,search,Stage 1: Greeting,I'm not sure where to start.,No worries at all! Let's take it step by step. Do you have some rough dates in mind?
CONNIE-007,search,Stage 1: Greeting,Hi there,Hello! How can I help you today? Are you looking to book a holiday?
CONNIE-008,search,Stage 1: Greeting,We want a family holiday.,Brilliant! A family holiday — lovely. Do you have some dates in mind?
CONNIE-009,search,Stage 1: Greeting,I'd like to treat my partner to a getaway.,How lovely! Do you have any dates in mind for the trip?
CONNIE-010,search,Stage 1: Greeting,Can Sykes help with group bookings?,"Absolutely! We have some wonderful properties for groups. How many guests are you thinking, and do you have dates in mind?"
CONNIE-011,search,Stage 2: Dates,Two weeks in August,Perfect! Two weeks in August. And whereabouts are you looking to go?
CONNIE-012,search,Stage 2: Dates,The first week of July,Perfect! 1–7 July. And whereabouts are you looking to go?
CONNIE-013,search,Stage 2: Dates,Mid-September for 4 nights,Perfect! Mid-September for 4 nights. Whereabouts are you thinking?
CONNIE-014,search,Stage 2: Dates,Easter weekend,Brilliant! Easter weekend is lovely. Any particular region in mind?
CONNIE-015,search,Stage 2: Dates,School summer holidays,Perfect! That's late July to early September. Any particular week work best?
CONNIE-016,search,Stage 2: Dates,23rd to 30th March,Brilliant! 23–30 March — 7 nights. And whereabouts are you looking?
CONNIE-017,search,Stage 2: Dates,Half term in October,Perfect! October half term. Do you have specific dates or shall I check availability for the full week?
CONNIE-018,search,Stage 2: Dates,New Year,Ooh lovely! New Year is very popular. Are you thinking New Year's Eve or the full week between Christmas and New Year?
CONNIE-019,search,Stage 2: Dates,Christmas week,Brilliant! Christmas week is magical in the right cottage. Any particular region in mind?
CONNIE-020,search,Stage 2: Dates,Sometime in spring,"Lovely! Spring is beautiful in the countryside. Any particular month — March, April, or May?"
CONNIE-021,search,Stage 2: Dates,We're flexible on dates,"That's great — it opens up lots of options! Do you have a rough duration in mind, and any regions you're drawn to?"
CONNIE-022,search,Stage 2: Dates,3 nights mid-week,Perfect — a mid-week break. Any particular month?
CONNIE-023,search,Stage 2: Dates,A long weekend,Lovely! Friday to Monday? Any month in mind?
CONNIE-024,search,Stage 2: Dates,10 days in June,Brilliant! 10 nights in June. Whereabouts are you thinking?
CONNIE-025,search,Stage 2: Dates,We need to go during August Bank Holiday,August Bank Holiday — great choice! That's 23–26 August. Shall I look at availability for that weekend?
CONNIE-026,search,Stage 3: Location,Cornwall,Brilliant! Cornwall is stunning. How many guests will be staying?
CONNIE-027,search,Stage 3: Location,Somewhere in Wales,"Lovely! Any particular part of Wales — north, south, or the Brecon Beacons area?"
CONNIE-028,search,Stage 3: Location,Scotland,"Brilliant — Scotland is beautiful. The Highlands, Loch Lomond, or somewhere else?"
CONNIE-029,search,Stage 3: Location,Near the coast,"Lovely! Any particular coastline in mind — Cornwall, Devon, Dorset, Norfolk?"
CONNIE-030,search,Stage 3: Location,We want somewhere rural and quiet,"Perfect — lots of gorgeous countryside options. Any region that appeals, or shall I suggest a few?"
CONNIE-031,search,Stage 3: Location,Not too far from London,"Of course! The Cotswolds, Kent, or the South Downs are all lovely and within easy reach. Any of those appeal?"
CONNIE-032,search,Stage 3: Location,Lake District,Brilliant choice! The Lake District is stunning. How many guests will be joining you?
CONNIE-033,search,Stage 3: Location,Somewhere with good walking,"Gorgeous — the Peak District, Lake District, and Snowdonia are all brilliant for walking. Any preference?"
CONNIE-034,search,Stage 3: Location,Devon,Lovely! Devon is beautiful. How many guests will be with you?
CONNIE-035,search,Stage 3: Location,We'd like to be near a beach,"Lovely! Any particular coast — we have great options in Cornwall, Devon, Dorset, and Norfolk."
CONNIE-036,search,Stage 3: Location,Yorkshire,Brilliant! The Yorkshire Dales and Moors are stunning. How many guests?
CONNIE-037,search,Stage 3: Location,Cotswolds,Perfect — the Cotswolds is gorgeous. How many guests will be staying?
CONNIE-038,search,Stage 3: Location,Norfolk,"Lovely! Norfolk is beautiful, especially the Broads and the coast. How many guests?"
CONNIE-039,search,Stage 3: Location,Somewhere we haven't been before — surprise us!,"How fun! Could you tell me a bit about what you enjoy — coast, countryside, walking, food? I'll make a brilliant suggestion."
CONNIE-040,search,Stage 3: Location,Anywhere dog-friendly,"We have wonderful dog-friendly options all over the UK! Any region that draws you, or shall I suggest a few great spots?"
CONNIE-041,search,Stage 4: Guests,2 adults,Perfect — just the two of you. Any pets coming along?
CONNIE-042,search,Stage 4: Guests,2 adults and 3 kids,Lovely! A family of 5. Any pets joining you?
CONNIE-043,search,Stage 4: Guests,Just me,A solo retreat — lovely! Any pets?
