case_id,task_type,stage,input,ideal_response
CONNIE-001,search,Stage 1: Greeting,"{""user_message"": ""Hi, I'm looking for a cottage."", ""conversation_history"": []}",Hello! I'd love to help you find the perfect cottage. What dates were you thinking?
CONNIE-002,search,Stage 1: Greeting,"{""user_message"": ""Hello!"", ""conversation_history"": []}",Hello! Welcome to Sykes Cottages. Are you looking to book a holiday?
CONNIE-003,search,Stage 1: Greeting,"{""user_message"": ""Good morning, I need some help."", ""conversation_history"": []}",Good morning! Of course — happy to help. Are you looking to book a cottage?
CONNIE-004,search,Stage 1: Greeting,"{""user_message"": ""I want to go on holiday."", ""conversation_history"": []}",Brilliant! I'd love to help with that. What dates were you thinking of?
CONNIE-005,search,Stage 1: Greeting,"{""user_message"": ""Can you help me?"", ""conversation_history"": []}",Of course! I'd love to help. Are you looking to book a holiday cottage?
CONNIE-006,search,Stage 1: Greeting,"{""user_message"": ""I'm not sure where to start."", ""conversation_history"": []}",No worries at all! Let's take it step by step. Do you have some rough dates in mind?
CONNIE-007,search,Stage 1: Greeting,"{""user_message"": ""Hi there"", ""conversation_history"": []}",Hello! How can I help you today? Are you looking to book a holiday?
CONNIE-008,search,Stage 1: Greeting,"{""user_message"": ""We want a family holiday."", ""conversation_history"": []}",Brilliant! A family holiday — lovely. Do you have some dates in mind?
CONNIE-009,search,Stage 1: Greeting,"{""user_message"": ""I'd like to treat my partner to a getaway."", ""conversation_history"": []}",How lovely! Do you have any dates in mind for the trip?
CONNIE-010,search,Stage 1: Greeting,"{""user_message"": ""Can Sykes help with group bookings?"", ""conversation_history"": []}","Absolutely! We have some wonderful properties for groups. How many guests are you thinking, and do you have dates in mind?"
CONNIE-011,search,Stage 2: Dates,"{""user_message"": ""Two weeks in August"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect! Two weeks in August. And whereabouts are you looking to go?
CONNIE-012,search,Stage 2: Dates,"{""user_message"": ""The first week of July"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect! 1–7 July. And whereabouts are you looking to go?
CONNIE-013,search,Stage 2: Dates,"{""user_message"": ""Mid-September for 4 nights"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect! Mid-September for 4 nights. Whereabouts are you thinking?
CONNIE-014,search,Stage 2: Dates,"{""user_message"": ""Easter weekend"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Brilliant! Easter weekend is lovely. Any particular region in mind?
CONNIE-015,search,Stage 2: Dates,"{""user_message"": ""School summer holidays"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect! That's late July to early September. Any particular week work best?
CONNIE-016,search,Stage 2: Dates,"{""user_message"": ""23rd to 30th March"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Brilliant! 23–30 March — 7 nights. And whereabouts are you looking?
CONNIE-017,search,Stage 2: Dates,"{""user_message"": ""Half term in October"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect! October half term. Do you have specific dates or shall I check availability for the full week?
CONNIE-018,search,Stage 2: Dates,"{""user_message"": ""New Year"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Ooh lovely! New Year is very popular. Are you thinking New Year's Eve or the full week between Christmas and New Year?
CONNIE-019,search,Stage 2: Dates,"{""user_message"": ""Christmas week"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Brilliant! Christmas week is magical in the right cottage. Any particular region in mind?
CONNIE-020,search,Stage 2: Dates,"{""user_message"": ""Sometime in spring"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}","Lovely! Spring is beautiful in the countryside. Any particular month — March, April, or May?"
CONNIE-021,search,Stage 2: Dates,"{""user_message"": ""We're flexible on dates"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}","That's great — it opens up lots of options! Do you have a rough duration in mind, and any regions you're drawn to?"
CONNIE-022,search,Stage 2: Dates,"{""user_message"": ""3 nights mid-week"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Perfect — a mid-week break. Any particular month?
CONNIE-023,search,Stage 2: Dates,"{""user_message"": ""A long weekend"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Lovely! Friday to Monday? Any month in mind?
CONNIE-024,search,Stage 2: Dates,"{""user_message"": ""10 days in June"", ""conversation_history"": [{""role"": ""ai"", ""content"": ""What dates were you thinking?""}]}",Brilliant! 10 nights in June. Whereabouts are you thinking?
